age,usage_gb,complaints,tenure_months,plan_type,churn,plan_type_enc
36.0,8.9,4.0,3.0,Postpaid,0,1
40.0,4.9,2.0,31.0,Postpaid,0,1
69.0,17.3,1.0,13.0,Postpaid,0,1
29.0,7.3,0.0,10.0,Postpaid,0,1
32.0,18.6,5.0,51.0,Postpaid,1,1
39.0,9.6,4.0,16.0,Prepaid,0,0
69.0,5.7,1.0,37.0,Prepaid,0,0
62.0,9.4,3.0,52.0,Prepaid,0,0
19.0,0.0,2.0,36.0,Prepaid,0,0
30.0,11.3,1.0,47.0,Prepaid,0,0
60.0,11.0,1.0,46.0,Postpaid,0,1
21.0,16.9,0.0,27.0,Prepaid,0,0
62.0,0.7,5.0,55.0,Prepaid,0,0
32.0,19.0,5.0,54.0,Prepaid,0,0
65.0,16.9,5.0,20.0,Postpaid,0,1
33.0,19.5,1.0,49.0,Prepaid,0,0
40.0,11.7,5.0,11.0,Postpaid,0,1
52.0,18.1,1.0,7.0,Postpaid,0,1
24.0,3.2,4.0,32.0,Prepaid,1,0
46.0,16.3,0.0,36.0,Postpaid,0,1
44.0,7.4,1.0,35.0,Postpaid,0,1
58.0,2.1,3.0,48.0,Postpaid,0,1
69.0,5.3,5.0,24.0,Postpaid,0,1
52.0,12.0,1.0,48.0,Prepaid,0,0
39.0,7.1,2.0,54.0,Postpaid,1,1
39.0,14.3,5.0,6.0,Postpaid,0,1
39.0,1.2,2.0,27.0,Postpaid,0,1
60.0,0.0,4.0,14.0,Postpaid,1,1
34.0,20.2,2.0,39.0,Postpaid,0,1
26.0,17.4,0.0,25.0,Prepaid,1,0
35.0,5.7,1.0,17.0,Prepaid,0,0
19.0,12.0,3.0,15.0,Prepaid,0,0
23.0,18.1,0.0,21.0,Postpaid,0,1
22.0,14.5,1.0,7.0,Prepaid,0,0
58.0,12.9,5.0,7.0,Postpaid,0,1
55.0,18.6,0.0,38.0,Prepaid,0,0
54.0,7.6,1.0,56.0,Prepaid,0,0
42.0,12.2,3.0,30.0,Prepaid,0,0
55.0,11.9,3.0,55.0,Prepaid,0,0
26.0,10.4,1.0,10.0,Postpaid,0,1
64.0,9.7,0.0,58.0,Prepaid,0,0
44.0,12.4,5.0,35.0,Prepaid,1,0
66.0,12.2,3.0,44.0,Prepaid,0,0
25.0,5.7,3.0,4.0,Prepaid,1,0
43.0,16.8,0.0,36.0,Prepaid,0,0
54.0,6.1,1.0,23.0,Prepaid,0,0
43.0,10.7,0.0,54.0,Postpaid,0,1
41.0,10.2,5.0,47.0,Postpaid,0,1
26.0,14.1,4.0,51.0,Postpaid,0,1
37.0,0.0,3.0,53.0,Prepaid,0,0
30.0,17.3,4.0,43.0,Prepaid,1,0
33.0,7.9,0.0,15.0,Prepaid,0,0
53.0,19.3,5.0,17.0,Postpaid,0,1
50.0,9.1,3.0,51.0,Prepaid,0,0
49.0,11.7,3.0,36.0,Prepaid,0,0
36.0,23.5,5.0,53.0,Prepaid,0,0
67.0,10.3,0.0,47.0,Prepaid,0,0
22.0,19.4,2.0,36.0,Prepaid,0,0
35.0,12.2,0.0,9.0,Postpaid,1,1
24.0,14.5,2.0,58.0,Postpaid,0,1
35.0,12.4,1.0,15.0,Prepaid,0,0
68.0,17.1,2.0,15.0,Prepaid,0,0
37.0,7.9,4.0,9.0,Prepaid,0,0
65.0,6.1,1.0,5.0,Prepaid,0,0
43.0,8.2,0.0,23.0,Prepaid,0,0
54.0,12.6,0.0,50.0,Prepaid,0,0
41.0,10.7,4.0,52.0,Prepaid,0,0
31.0,16.3,3.0,29.0,Prepaid,0,0
57.0,19.8,5.0,19.0,Postpaid,0,1
68.0,6.1,5.0,21.0,Postpaid,0,1
31.0,7.6,0.0,55.0,Prepaid,0,0
58.0,3.4,4.0,4.0,Prepaid,1,0
31.0,24.2,0.0,4.0,Postpaid,0,1
55.0,13.8,0.0,4.0,Prepaid,0,0
59.0,14.9,4.0,53.0,Postpaid,0,1
41.0,4.0,2.0,6.0,Prepaid,1,0
56.0,12.0,5.0,56.0,Postpaid,0,1
32.0,15.1,0.0,11.0,Prepaid,0,0
22.0,10.5,3.0,33.0,Prepaid,0,0
23.0,18.5,1.0,58.0,Postpaid,0,1
41.0,25.9,5.0,7.0,Postpaid,0,1
64.0,6.3,4.0,17.0,Prepaid,1,0
24.0,5.9,4.0,43.0,Postpaid,0,1
41.0,6.7,1.0,49.0,Postpaid,0,1
54.0,21.6,5.0,54.0,Prepaid,0,0
28.0,18.3,5.0,2.0,Prepaid,1,0
55.0,11.2,4.0,46.0,Prepaid,0,0
33.0,12.2,2.0,19.0,Postpaid,0,1
60.0,7.1,5.0,33.0,Prepaid,0,0
48.0,17.3,4.0,54.0,Prepaid,1,0
46.0,9.7,0.0,54.0,Prepaid,0,0
27.0,10.4,5.0,11.0,Prepaid,0,0
42.0,15.7,0.0,28.0,Prepaid,0,0
62.0,10.9,4.0,17.0,Prepaid,0,0
19.0,10.6,1.0,37.0,Prepaid,0,0
57.0,12.1,5.0,49.0,Prepaid,0,0
43.0,16.8,4.0,19.0,Prepaid,0,0
55.0,21.9,4.0,8.0,Prepaid,0,0
52.0,15.5,4.0,4.0,Prepaid,1,0
40.0,16.8,3.0,4.0,Postpaid,0,1
34.0,10.8,5.0,22.0,Prepaid,0,0
50.0,7.8,1.0,57.0,Prepaid,0,0
25.0,15.9,3.0,15.0,Prepaid,0,0
48.0,13.0,1.0,24.0,Postpaid,0,1
22.0,3.5,0.0,40.0,Postpaid,0,1
51.0,10.0,5.0,39.0,Postpaid,0,1
50.0,11.5,2.0,16.0,Prepaid,0,0
22.0,8.9,0.0,8.0,Prepaid,0,0
57.0,20.9,4.0,10.0,Prepaid,1,0
39.0,14.9,5.0,13.0,Prepaid,1,0
58.0,20.2,3.0,6.0,Postpaid,0,1
20.0,13.6,1.0,28.0,Prepaid,0,0
27.0,12.5,5.0,39.0,Postpaid,0,1
43.0,6.4,4.0,40.0,Postpaid,0,1
27.0,12.1,1.0,54.0,Postpaid,0,1
35.0,12.1,1.0,18.0,Prepaid,0,0
52.0,3.8,5.0,39.0,Postpaid,0,1
25.0,8.8,5.0,53.0,Prepaid,0,0
53.0,10.1,4.0,2.0,Prepaid,1,0
23.0,14.5,0.0,47.0,Prepaid,0,0
27.0,14.8,1.0,6.0,Postpaid,0,1
48.0,8.5,2.0,33.0,Postpaid,0,1
59.0,14.8,3.0,50.0,Prepaid,0,0
26.0,10.9,5.0,28.0,Postpaid,0,1
33.0,0.0,5.0,34.0,Prepaid,1,0
66.0,9.1,1.0,37.0,Postpaid,0,1
69.0,18.5,0.0,35.0,Prepaid,0,0
48.0,1.9,1.0,44.0,Prepaid,0,0
41.0,12.7,1.0,51.0,Prepaid,0,0
36.0,21.5,5.0,8.0,Postpaid,1,1
49.0,7.4,0.0,25.0,Postpaid,1,1
48.0,12.0,4.0,51.0,Prepaid,0,0
33.0,4.2,3.0,23.0,Prepaid,1,0
19.0,21.8,0.0,29.0,Prepaid,0,0
25.0,11.5,4.0,44.0,Postpaid,0,1
67.0,12.3,3.0,56.0,Prepaid,0,0
39.0,20.1,0.0,15.0,Prepaid,0,0
43.0,16.0,1.0,57.0,Prepaid,0,0
42.0,6.7,2.0,42.0,Prepaid,0,0
58.0,8.1,1.0,2.0,Postpaid,0,1
21.0,15.0,3.0,51.0,Prepaid,0,0
22.0,8.3,3.0,23.0,Prepaid,0,0
32.0,0.0,1.0,17.0,Prepaid,0,0
43.0,11.7,0.0,32.0,Prepaid,0,0
52.0,3.1,3.0,34.0,Prepaid,0,0
43.0,21.7,2.0,32.0,Prepaid,0,0
40.0,13.1,1.0,4.0,Postpaid,0,1
66.0,6.6,1.0,49.0,Prepaid,0,0
26.0,7.8,0.0,21.0,Prepaid,0,0
47.0,0.7,5.0,9.0,Prepaid,0,0
46.0,5.4,5.0,34.0,Prepaid,0,0
42.0,18.1,3.0,37.0,Prepaid,0,0
59.0,25.4,2.0,7.0,Postpaid,0,1
31.0,16.4,1.0,56.0,Prepaid,0,0
67.0,11.4,1.0,36.0,Postpaid,0,1
35.0,9.4,5.0,59.0,Prepaid,0,0
46.0,6.3,0.0,40.0,Prepaid,0,0
45.0,24.4,4.0,1.0,Prepaid,0,0
62.0,10.9,1.0,13.0,Postpaid,0,1
40.0,24.7,1.0,58.0,Prepaid,0,0
32.0,20.4,4.0,34.0,Postpaid,0,1
19.0,1.6,5.0,8.0,Prepaid,0,0
36.0,8.0,5.0,5.0,Postpaid,1,1
60.0,8.0,1.0,32.0,Prepaid,0,0
18.0,11.5,3.0,36.0,Prepaid,0,0
64.0,11.6,1.0,15.0,Postpaid,0,1
46.0,30.0,1.0,12.0,Prepaid,0,0
25.0,5.5,2.0,36.0,Prepaid,0,0
33.0,13.4,0.0,26.0,Prepaid,0,0
46.0,15.7,0.0,3.0,Postpaid,0,1
34.0,12.0,3.0,4.0,Postpaid,0,1
23.0,12.7,4.0,15.0,Prepaid,0,0
52.0,5.7,1.0,34.0,Prepaid,0,0
52.0,12.6,3.0,18.0,Prepaid,0,0
24.0,15.1,4.0,1.0,Prepaid,0,0
32.0,14.0,5.0,55.0,Prepaid,0,0
30.0,15.4,3.0,41.0,Prepaid,0,0
52.0,20.5,1.0,35.0,Prepaid,0,0
55.0,17.6,4.0,15.0,Prepaid,0,0
55.0,12.4,1.0,42.0,Prepaid,0,0
66.0,5.0,0.0,56.0,Prepaid,0,0
57.0,8.4,2.0,40.0,Prepaid,0,0
34.0,10.7,1.0,18.0,Prepaid,0,0
23.0,13.5,0.0,24.0,Postpaid,0,1
49.0,9.1,0.0,55.0,Prepaid,0,0
65.0,6.4,5.0,1.0,Prepaid,0,0
68.0,4.9,4.0,14.0,Postpaid,0,1
29.0,2.1,4.0,7.0,Prepaid,0,0
30.0,10.6,0.0,38.0,Prepaid,0,0
19.0,3.2,4.0,28.0,Postpaid,1,1
25.0,6.0,2.0,8.0,Postpaid,0,1
46.0,9.6,4.0,56.0,Postpaid,0,1
46.0,4.0,2.0,33.0,Postpaid,0,1
37.0,14.3,1.0,15.0,Postpaid,0,1
34.0,16.4,1.0,56.0,Prepaid,0,0
61.0,8.7,0.0,42.0,Prepaid,0,0
41.0,9.4,4.0,8.0,Prepaid,0,0
60.0,15.2,2.0,49.0,Prepaid,0,0
68.0,7.7,4.0,4.0,Postpaid,0,1
34.0,7.3,4.0,54.0,Prepaid,1,0
28.0,19.2,1.0,24.0,Postpaid,0,1
67.0,17.3,1.0,18.0,Prepaid,0,0
51.0,15.6,0.0,4.0,Prepaid,0,0
33.0,17.6,0.0,55.0,Postpaid,0,1
50.0,0.1,5.0,34.0,Prepaid,0,0
44.0,20.1,3.0,36.0,Prepaid,0,0
65.0,14.4,2.0,51.0,Prepaid,0,0
31.0,18.1,1.0,30.0,Prepaid,0,0
69.0,14.3,3.0,18.0,Prepaid,1,0
66.0,12.3,3.0,46.0,Postpaid,0,1
27.0,10.3,1.0,32.0,Postpaid,0,1
26.0,14.2,0.0,15.0,Postpaid,0,1
45.0,10.1,2.0,50.0,Postpaid,0,1
20.0,17.2,3.0,48.0,Postpaid,0,1
33.0,2.5,4.0,15.0,Prepaid,1,0
40.0,8.8,2.0,39.0,Postpaid,0,1
68.0,24.3,0.0,55.0,Postpaid,0,1
69.0,8.2,5.0,48.0,Prepaid,0,0
25.0,10.6,2.0,12.0,Prepaid,0,0
64.0,6.7,4.0,51.0,Postpaid,0,1
22.0,14.0,0.0,4.0,Postpaid,0,1
56.0,7.6,0.0,37.0,Postpaid,1,1
61.0,10.9,0.0,31.0,Prepaid,0,0
64.0,17.1,4.0,3.0,Postpaid,0,1
29.0,7.8,1.0,43.0,Prepaid,0,0
64.0,16.7,4.0,18.0,Postpaid,0,1
24.0,16.9,5.0,51.0,Postpaid,0,1
44.0,18.3,3.0,52.0,Postpaid,0,1
42.0,12.8,5.0,35.0,Postpaid,0,1
34.0,31.4,5.0,37.0,Prepaid,0,0
19.0,18.3,4.0,4.0,Postpaid,1,1
58.0,13.9,4.0,53.0,Postpaid,0,1
35.0,6.7,3.0,41.0,Prepaid,0,0
52.0,11.4,1.0,23.0,Prepaid,0,0
39.0,20.6,0.0,6.0,Postpaid,0,1
37.0,22.3,2.0,30.0,Prepaid,0,0
64.0,20.9,2.0,54.0,Prepaid,0,0
22.0,16.7,2.0,51.0,Prepaid,0,0
56.0,4.5,0.0,6.0,Prepaid,0,0
56.0,14.9,3.0,45.0,Prepaid,0,0
37.0,4.6,2.0,5.0,Postpaid,1,1
31.0,3.1,5.0,23.0,Prepaid,0,0
18.0,13.4,5.0,27.0,Postpaid,0,1
66.0,15.1,3.0,2.0,Prepaid,0,0
67.0,17.4,5.0,9.0,Postpaid,0,1
30.0,15.0,1.0,52.0,Prepaid,0,0
19.0,15.2,5.0,38.0,Postpaid,0,1
24.0,6.1,5.0,47.0,Postpaid,0,1
21.0,11.4,0.0,34.0,Postpaid,0,1
61.0,3.0,4.0,27.0,Prepaid,1,0
64.0,0.0,2.0,2.0,Prepaid,0,0
25.0,16.4,1.0,33.0,Prepaid,0,0
56.0,7.5,2.0,46.0,Prepaid,1,0
27.0,17.2,5.0,13.0,Prepaid,0,0
37.0,18.7,5.0,29.0,Postpaid,0,1
49.0,8.3,2.0,25.0,Prepaid,0,0
55.0,15.5,2.0,52.0,Prepaid,0,0
63.0,8.0,3.0,10.0,Prepaid,0,0
20.0,0.9,4.0,7.0,Prepaid,0,0
28.0,12.7,2.0,13.0,Postpaid,0,1
32.0,9.2,2.0,10.0,Prepaid,0,0
34.0,9.4,5.0,50.0,Prepaid,0,0
69.0,23.9,2.0,16.0,Prepaid,0,0
58.0,2.8,1.0,22.0,Postpaid,0,1
34.0,14.3,1.0,16.0,Postpaid,1,1
68.0,6.0,1.0,49.0,Prepaid,0,0
43.0,17.4,3.0,40.0,Prepaid,0,0
44.0,13.8,3.0,28.0,Postpaid,0,1
40.0,14.3,0.0,48.0,Postpaid,0,1
25.0,6.3,5.0,5.0,Prepaid,1,0
66.0,7.4,1.0,41.0,Prepaid,0,0
18.0,17.6,0.0,22.0,Prepaid,0,0
27.0,22.6,4.0,23.0,Postpaid,0,1
29.0,14.9,1.0,10.0,Prepaid,0,0
32.0,6.6,4.0,6.0,Postpaid,0,1
24.0,14.0,5.0,41.0,Postpaid,0,1
18.0,26.6,4.0,51.0,Postpaid,0,1
53.0,12.6,4.0,54.0,Postpaid,0,1
68.0,20.8,2.0,15.0,Prepaid,0,0
24.0,7.6,2.0,46.0,Postpaid,0,1
33.0,11.7,3.0,7.0,Postpaid,0,1
44.0,15.7,2.0,46.0,Postpaid,0,1
66.0,14.4,5.0,34.0,Prepaid,1,0
54.0,7.4,2.0,51.0,Prepaid,0,0
57.0,7.1,2.0,4.0,Postpaid,0,1
48.0,17.9,4.0,46.0,Prepaid,0,0
39.0,19.1,1.0,28.0,Postpaid,0,1
28.0,21.1,3.0,34.0,Prepaid,0,0
62.0,22.8,4.0,32.0,Prepaid,0,0
59.0,12.8,4.0,43.0,Postpaid,0,1
19.0,10.1,1.0,36.0,Postpaid,0,1
55.0,20.1,0.0,25.0,Prepaid,0,0
22.0,16.3,1.0,26.0,Prepaid,0,0
56.0,6.1,4.0,5.0,Prepaid,1,0
60.0,5.8,1.0,43.0,Prepaid,0,0
24.0,15.0,0.0,42.0,Prepaid,0,0
40.0,10.9,3.0,34.0,Prepaid,0,0
24.0,11.8,5.0,43.0,Prepaid,0,0
47.0,18.4,1.0,16.0,Prepaid,0,0
66.0,16.6,0.0,14.0,Postpaid,0,1
22.0,20.0,0.0,55.0,Postpaid,0,1
38.0,0.4,0.0,57.0,Prepaid,0,0
68.0,13.5,1.0,51.0,Postpaid,0,1
33.0,16.2,1.0,4.0,Prepaid,0,0
24.0,2.8,3.0,33.0,Prepaid,0,0
43.0,8.1,1.0,44.0,Prepaid,0,0
44.0,7.0,3.0,3.0,Postpaid,0,1
52.0,12.1,2.0,58.0,Prepaid,0,0
34.0,21.8,3.0,47.0,Prepaid,0,0
67.0,24.1,3.0,19.0,Postpaid,1,1
45.0,7.1,3.0,30.0,Postpaid,0,1
32.0,15.2,5.0,54.0,Postpaid,0,1
67.0,15.4,1.0,51.0,Postpaid,0,1
66.0,14.3,3.0,49.0,Postpaid,0,1
43.0,14.4,2.0,59.0,Prepaid,0,0
19.0,13.8,3.0,44.0,Postpaid,0,1
49.0,22.1,0.0,56.0,Prepaid,1,0
46.0,18.6,1.0,57.0,Prepaid,0,0
25.0,5.6,5.0,2.0,Postpaid,1,1
50.0,16.8,4.0,39.0,Prepaid,0,0
61.0,17.4,2.0,20.0,Prepaid,0,0
23.0,13.9,0.0,30.0,Prepaid,1,0
55.0,18.8,3.0,10.0,Postpaid,0,1
25.0,13.1,1.0,40.0,Postpaid,0,1
56.0,13.2,1.0,50.0,Prepaid,0,0
39.0,12.7,0.0,25.0,Prepaid,0,0
18.0,0.0,1.0,42.0,Postpaid,0,1
68.0,11.5,1.0,20.0,Postpaid,0,1
26.0,8.0,0.0,45.0,Prepaid,0,0
48.0,4.9,3.0,5.0,Prepaid,0,0
27.0,20.6,5.0,52.0,Prepaid,0,0
66.0,15.0,0.0,23.0,Prepaid,0,0
56.0,11.8,0.0,30.0,Postpaid,0,1
59.0,8.6,0.0,48.0,Prepaid,0,0
40.0,13.8,3.0,2.0,Postpaid,0,1
42.0,17.9,4.0,56.0,Postpaid,0,1
50.0,7.0,1.0,37.0,Postpaid,0,1
58.0,12.0,0.0,58.0,Postpaid,0,1
62.0,17.2,0.0,33.0,Prepaid,0,0
18.0,0.4,3.0,13.0,Prepaid,0,0
52.0,11.7,2.0,35.0,Prepaid,0,0
23.0,9.4,2.0,34.0,Postpaid,0,1
32.0,11.2,1.0,55.0,Postpaid,0,1
61.0,9.0,5.0,34.0,Prepaid,1,0
31.0,12.8,2.0,24.0,Postpaid,0,1
59.0,23.5,4.0,11.0,Prepaid,0,0
42.0,10.1,4.0,20.0,Prepaid,1,0
30.0,13.8,0.0,35.0,Prepaid,0,0
35.0,24.0,1.0,22.0,Postpaid,0,1
45.0,8.7,5.0,22.0,Prepaid,1,0
57.0,22.9,5.0,1.0,Prepaid,0,0
49.0,12.0,2.0,56.0,Postpaid,0,1
66.0,22.7,0.0,50.0,Prepaid,0,0
63.0,16.5,1.0,16.0,Prepaid,0,0
57.0,13.8,5.0,9.0,Prepaid,0,0
49.0,11.6,4.0,50.0,Prepaid,0,0
33.0,8.3,0.0,50.0,Prepaid,0,0
39.0,12.5,4.0,53.0,Prepaid,1,0
24.0,17.4,0.0,33.0,Postpaid,0,1
37.0,11.9,1.0,44.0,Postpaid,0,1
66.0,10.1,2.0,44.0,Postpaid,0,1
40.0,10.5,2.0,13.0,Prepaid,0,0
23.0,18.0,4.0,31.0,Prepaid,0,0
51.0,19.4,0.0,16.0,Prepaid,0,0
68.0,8.0,5.0,45.0,Prepaid,0,0
63.0,8.0,3.0,58.0,Postpaid,0,1
32.0,14.3,1.0,5.0,Prepaid,0,0
41.0,21.2,5.0,5.0,Postpaid,0,1
45.0,18.9,2.0,16.0,Postpaid,0,1
30.0,4.5,2.0,7.0,Prepaid,0,0
31.0,10.4,0.0,1.0,Postpaid,0,1
30.0,6.4,5.0,58.0,Prepaid,0,0
69.0,10.4,5.0,35.0,Postpaid,0,1
56.0,21.6,1.0,46.0,Postpaid,0,1
61.0,3.5,5.0,34.0,Prepaid,0,0
60.0,2.3,4.0,45.0,Prepaid,0,0
67.0,7.0,2.0,41.0,Prepaid,0,0
23.0,13.7,5.0,10.0,Postpaid,0,1
63.0,15.7,3.0,9.0,Prepaid,1,0
21.0,14.6,4.0,29.0,Postpaid,0,1
42.0,19.1,1.0,22.0,Prepaid,0,0
48.0,1.4,0.0,50.0,Postpaid,0,1
36.0,19.1,3.0,19.0,Prepaid,0,0
25.0,10.1,1.0,20.0,Postpaid,0,1
27.0,16.4,5.0,32.0,Postpaid,0,1
60.0,4.1,0.0,12.0,Prepaid,1,0
34.0,12.0,4.0,51.0,Prepaid,0,0
34.0,13.4,3.0,1.0,Prepaid,1,0
66.0,18.9,5.0,51.0,Postpaid,0,1
25.0,2.5,5.0,37.0,Postpaid,0,1
65.0,12.2,5.0,53.0,Prepaid,0,0
65.0,5.5,2.0,18.0,Postpaid,0,1
49.0,15.0,4.0,54.0,Postpaid,0,1
26.0,16.7,0.0,51.0,Postpaid,0,1
26.0,19.7,2.0,27.0,Prepaid,0,0
32.0,8.8,1.0,17.0,Prepaid,0,0
48.0,17.6,1.0,12.0,Postpaid,0,1
