age,usage_gb,complaints,tenure_months,plan_type,churn
61.0,13.5,4,49,Postpaid,0
50.0,9.1,5,18,Prepaid,0
54.0,8.1,0,38,Postpaid,0
23.0,12.8,3,30,Postpaid,0
34.0,9.5,4,23,Prepaid,0
57.0,5.3,0,27,Postpaid,0
61.0,10.0,3,5,Postpaid,0
40.0,14.0,0,42,Prepaid,0
59.0,10.9,5,4,Postpaid,0
61.0,3.5,4,5,Prepaid,1
38.0,17.9,1,15,Prepaid,0
64.0,0.0,3,32,Prepaid,0
32.0,9.3,0,18,Prepaid,0
30.0,8.3,4,52,Prepaid,0
53.0,12.9,1,55,Prepaid,0
51.0,15.4,3,24,Postpaid,0
25.0,18.8,0,59,Prepaid,0
61.0,7.7,0,6,Postpaid,0
28.0,15.5,5,9,Prepaid,0
59.0,13.2,2,21,Prepaid,0
18.0,1.7,0,56,Postpaid,0
59.0,23.4,4,30,Prepaid,0
58.0,3.4,1,42,Prepaid,0
58.0,14.5,3,39,Postpaid,0
52.0,14.3,4,30,Prepaid,1
42.0,13.7,4,55,Prepaid,0
54.0,9.0,1,57,Postpaid,0
32.0,17.0,1,27,Prepaid,0
58.0,2.6,1,43,Postpaid,0
46.0,11.6,3,37,Prepaid,0
41.0,8.6,4,36,Prepaid,0
44.0,7.9,3,6,Prepaid,0
47.0,14.6,2,13,Prepaid,0
19.0,18.5,0,59,Postpaid,0
25.0,9.9,5,15,Postpaid,0
30.0,16.7,3,39,Postpaid,0
23.0,12.3,3,54,Prepaid,0
40.0,6.6,0,36,Postpaid,0
52.0,10.5,1,13,Postpaid,0
52.0,10.2,1,51,Prepaid,0
42.0,7.8,3,2,Prepaid,0
62.0,14.6,4,43,Prepaid,0
47.0,13.4,5,16,Prepaid,1
22.0,2.5,3,38,Prepaid,0
57.0,2.1,2,29,Prepaid,0
47.0,14.5,2,34,Postpaid,0
51.0,7.1,4,23,Prepaid,1
47.0,13.8,1,32,Prepaid,1
46.0,16.7,2,56,Postpaid,0
22.0,4.4,4,49,Prepaid,0
47.0,3.5,3,25,Prepaid,0
59.0,22.0,2,56,Prepaid,0
33.0,14.1,4,53,Postpaid,0
49.0,9.5,1,38,Prepaid,0
19.0,6.4,0,36,Postpaid,0
36.0,8.9,4,3,Postpaid,0
40.0,4.9,2,31,Postpaid,0
69.0,17.3,1,13,Postpaid,0
29.0,7.3,0,10,Postpaid,0
32.0,18.6,5,51,Postpaid,1
39.0,9.6,4,16,Prepaid,0
69.0,5.7,1,37,Prepaid,0
62.0,9.4,3,52,Prepaid,0
19.0,0.0,2,36,Prepaid,0
30.0,11.3,1,47,Prepaid,0
60.0,11.0,1,46,Postpaid,0
21.0,16.9,0,27,Prepaid,0
62.0,0.7,5,55,Prepaid,0
32.0,19.0,5,54,Prepaid,0
65.0,16.9,5,20,Postpaid,0
33.0,19.5,1,49,Prepaid,0
40.0,11.7,5,11,Postpaid,0
52.0,18.1,1,7,Postpaid,0
24.0,3.2,4,32,Prepaid,1
46.0,16.3,0,36,Postpaid,0
44.0,7.4,1,35,Postpaid,0
58.0,2.1,3,48,Postpaid,0
69.0,5.3,5,24,Postpaid,0
52.0,12.0,1,48,Prepaid,0
39.0,7.1,2,54,Postpaid,1
39.0,14.3,5,6,Postpaid,0
39.0,1.2,2,27,Postpaid,0
60.0,0.0,4,14,Postpaid,1
34.0,20.2,2,39,Postpaid,0
26.0,17.4,0,25,Prepaid,1
35.0,5.7,1,17,Prepaid,0
19.0,12.0,3,15,Prepaid,0
23.0,18.1,0,21,Postpaid,0
22.0,14.5,1,7,Prepaid,0
58.0,12.9,5,7,Postpaid,0
55.0,18.6,0,38,Prepaid,0
54.0,7.6,1,56,Prepaid,0
42.0,12.2,3,30,Prepaid,0
55.0,11.9,3,55,Prepaid,0
26.0,10.4,1,10,Postpaid,0
64.0,9.7,0,58,Prepaid,0
44.0,12.4,5,35,Prepaid,1
66.0,12.2,3,44,Prepaid,0
25.0,5.7,3,4,Prepaid,1
43.0,16.8,0,36,Prepaid,0
54.0,6.1,1,23,Prepaid,0
43.0,10.7,0,54,Postpaid,0
41.0,10.2,5,47,Postpaid,0
26.0,14.1,4,51,Postpaid,0
37.0,0.0,3,53,Prepaid,0
30.0,17.3,4,43,Prepaid,1
33.0,7.9,0,15,Prepaid,0
53.0,19.3,5,17,Postpaid,0
50.0,9.1,3,51,Prepaid,0
49.0,11.7,3,36,Prepaid,0
36.0,23.5,5,53,Prepaid,0
67.0,10.3,0,47,Prepaid,0
22.0,19.4,2,36,Prepaid,0
35.0,12.2,0,9,Postpaid,1
24.0,14.5,2,58,Postpaid,0
35.0,12.4,1,15,Prepaid,0
68.0,17.1,2,15,Prepaid,0
37.0,7.9,4,9,Prepaid,0
65.0,6.1,1,5,Prepaid,0
43.0,8.2,0,23,Prepaid,0
54.0,12.6,0,50,Prepaid,0
41.0,10.7,4,52,Prepaid,0
31.0,16.3,3,29,Prepaid,0
57.0,19.8,5,19,Postpaid,0
68.0,6.1,5,21,Postpaid,0
31.0,7.6,0,55,Prepaid,0
58.0,3.4,4,4,Prepaid,1
31.0,24.2,0,4,Postpaid,0
55.0,13.8,0,4,Prepaid,0
59.0,14.9,4,53,Postpaid,0
41.0,4.0,2,6,Prepaid,1
56.0,12.0,5,56,Postpaid,0
32.0,15.1,0,11,Prepaid,0
22.0,10.5,3,33,Prepaid,0
23.0,18.5,1,58,Postpaid,0
41.0,25.9,5,7,Postpaid,0
64.0,6.3,4,17,Prepaid,1
24.0,5.9,4,43,Postpaid,0
41.0,6.7,1,49,Postpaid,0
54.0,21.6,5,54,Prepaid,0
28.0,18.3,5,2,Prepaid,1
55.0,11.2,4,46,Prepaid,0
33.0,12.2,2,19,Postpaid,0
60.0,7.1,5,33,Prepaid,0
48.0,17.3,4,54,Prepaid,1
46.0,9.7,0,54,Prepaid,0
27.0,10.4,5,11,Prepaid,0
42.0,15.7,0,28,Prepaid,0
62.0,10.9,4,17,Prepaid,0
19.0,10.6,1,37,Prepaid,0
57.0,12.1,5,49,Prepaid,0
43.0,16.8,4,19,Prepaid,0
55.0,21.9,4,8,Prepaid,0
52.0,15.5,4,4,Prepaid,1
40.0,16.8,3,4,Postpaid,0
34.0,10.8,5,22,Prepaid,0
50.0,7.8,1,57,Prepaid,0
25.0,15.9,3,15,Prepaid,0
48.0,13.0,1,24,Postpaid,0
22.0,3.5,0,40,Postpaid,0
51.0,10.0,5,39,Postpaid,0
50.0,11.5,2,16,Prepaid,0
22.0,8.9,0,8,Prepaid,0
57.0,20.9,4,10,Prepaid,1
39.0,14.9,5,13,Prepaid,1
58.0,20.2,3,6,Postpaid,0
20.0,13.6,1,28,Prepaid,0
27.0,12.5,5,39,Postpaid,0
43.0,6.4,4,40,Postpaid,0
27.0,12.1,1,54,Postpaid,0
35.0,12.1,1,18,Prepaid,0
52.0,3.8,5,39,Postpaid,0
25.0,8.8,5,53,Prepaid,0
53.0,10.1,4,2,Prepaid,1
23.0,14.5,0,47,Prepaid,0
27.0,14.8,1,6,Postpaid,0
48.0,8.5,2,33,Postpaid,0
59.0,14.8,3,50,Prepaid,0
26.0,10.9,5,28,Postpaid,0
33.0,0.0,5,34,Prepaid,1
66.0,9.1,1,37,Postpaid,0
69.0,18.5,0,35,Prepaid,0
48.0,1.9,1,44,Prepaid,0
41.0,12.7,1,51,Prepaid,0
36.0,21.5,5,8,Postpaid,1
49.0,7.4,0,25,Postpaid,1
48.0,12.0,4,51,Prepaid,0
33.0,4.2,3,23,Prepaid,1
19.0,21.8,0,29,Prepaid,0
25.0,11.5,4,44,Postpaid,0
67.0,12.3,3,56,Prepaid,0
39.0,20.1,0,15,Prepaid,0
43.0,16.0,1,57,Prepaid,0
42.0,6.7,2,42,Prepaid,0
58.0,8.1,1,2,Postpaid,0
21.0,15.0,3,51,Prepaid,0
22.0,8.3,3,23,Prepaid,0
32.0,0.0,1,17,Prepaid,0
43.0,11.7,0,32,Prepaid,0
52.0,3.1,3,34,Prepaid,0
43.0,21.7,2,32,Prepaid,0
40.0,13.1,1,4,Postpaid,0
66.0,6.6,1,49,Prepaid,0
26.0,7.8,0,21,Prepaid,0
47.0,0.7,5,9,Prepaid,0
46.0,5.4,5,34,Prepaid,0
42.0,18.1,3,37,Prepaid,0
59.0,25.4,2,7,Postpaid,0
31.0,16.4,1,56,Prepaid,0
67.0,11.4,1,36,Postpaid,0
35.0,9.4,5,59,Prepaid,0
46.0,6.3,0,40,Prepaid,0
45.0,24.4,4,1,Prepaid,0
62.0,10.9,1,13,Postpaid,0
40.0,24.7,1,58,Prepaid,0
32.0,20.4,4,34,Postpaid,0
19.0,1.6,5,8,Prepaid,0
36.0,8.0,5,5,Postpaid,1
60.0,8.0,1,32,Prepaid,0
18.0,11.5,3,36,Prepaid,0
64.0,11.6,1,15,Postpaid,0
46.0,30.0,1,12,Prepaid,0
25.0,5.5,2,36,Prepaid,0
33.0,13.4,0,26,Prepaid,0
46.0,15.7,0,3,Postpaid,0
34.0,12.0,3,4,Postpaid,0
23.0,12.7,4,15,Prepaid,0
52.0,5.7,1,34,Prepaid,0
52.0,12.6,3,18,Prepaid,0
24.0,15.1,4,1,Prepaid,0
32.0,14.0,5,55,Prepaid,0
30.0,15.4,3,41,Prepaid,0
52.0,20.5,1,35,Prepaid,0
55.0,17.6,4,15,Prepaid,0
55.0,12.4,1,42,Prepaid,0
66.0,5.0,0,56,Prepaid,0
57.0,8.4,2,40,Prepaid,0
34.0,10.7,1,18,Prepaid,0
23.0,13.5,0,24,Postpaid,0
49.0,9.1,0,55,Prepaid,0
65.0,6.4,5,1,Prepaid,0
68.0,4.9,4,14,Postpaid,0
29.0,2.1,4,7,Prepaid,0
30.0,10.6,0,38,Prepaid,0
19.0,3.2,4,28,Postpaid,1
25.0,6.0,2,8,Postpaid,0
46.0,9.6,4,56,Postpaid,0
46.0,4.0,2,33,Postpaid,0
37.0,14.3,1,15,Postpaid,0
34.0,16.4,1,56,Prepaid,0
61.0,8.7,0,42,Prepaid,0
41.0,9.4,4,8,Prepaid,0
60.0,15.2,2,49,Prepaid,0
68.0,7.7,4,4,Postpaid,0
34.0,7.3,4,54,Prepaid,1
28.0,19.2,1,24,Postpaid,0
67.0,17.3,1,18,Prepaid,0
51.0,15.6,0,4,Prepaid,0
33.0,17.6,0,55,Postpaid,0
50.0,0.1,5,34,Prepaid,0
44.0,20.1,3,36,Prepaid,0
65.0,14.4,2,51,Prepaid,0
31.0,18.1,1,30,Prepaid,0
69.0,14.3,3,18,Prepaid,1
66.0,12.3,3,46,Postpaid,0
27.0,10.3,1,32,Postpaid,0
26.0,14.2,0,15,Postpaid,0
45.0,10.1,2,50,Postpaid,0
20.0,17.2,3,48,Postpaid,0
33.0,2.5,4,15,Prepaid,1
40.0,8.8,2,39,Postpaid,0
68.0,24.3,0,55,Postpaid,0
69.0,8.2,5,48,Prepaid,0
25.0,10.6,2,12,Prepaid,0
64.0,6.7,4,51,Postpaid,0
22.0,14.0,0,4,Postpaid,0
56.0,7.6,0,37,Postpaid,1
61.0,10.9,0,31,Prepaid,0
64.0,17.1,4,3,Postpaid,0
29.0,7.8,1,43,Prepaid,0
64.0,16.7,4,18,Postpaid,0
24.0,16.9,5,51,Postpaid,0
44.0,18.3,3,52,Postpaid,0
42.0,12.8,5,35,Postpaid,0
34.0,31.4,5,37,Prepaid,0
19.0,18.3,4,4,Postpaid,1
58.0,13.9,4,53,Postpaid,0
35.0,6.7,3,41,Prepaid,0
52.0,11.4,1,23,Prepaid,0
39.0,20.6,0,6,Postpaid,0
37.0,22.3,2,30,Prepaid,0
64.0,20.9,2,54,Prepaid,0
22.0,16.7,2,51,Prepaid,0
56.0,4.5,0,6,Prepaid,0
56.0,14.9,3,45,Prepaid,0
37.0,4.6,2,5,Postpaid,1
31.0,3.1,5,23,Prepaid,0
18.0,13.4,5,27,Postpaid,0
66.0,15.1,3,2,Prepaid,0
67.0,17.4,5,9,Postpaid,0
30.0,15.0,1,52,Prepaid,0
19.0,15.2,5,38,Postpaid,0
24.0,6.1,5,47,Postpaid,0
21.0,11.4,0,34,Postpaid,0
61.0,3.0,4,27,Prepaid,1
64.0,0.0,2,2,Prepaid,0
25.0,16.4,1,33,Prepaid,0
56.0,7.5,2,46,Prepaid,1
27.0,17.2,5,13,Prepaid,0
37.0,18.7,5,29,Postpaid,0
49.0,8.3,2,25,Prepaid,0
55.0,15.5,2,52,Prepaid,0
63.0,8.0,3,10,Prepaid,0
20.0,0.9,4,7,Prepaid,0
28.0,12.7,2,13,Postpaid,0
32.0,9.2,2,10,Prepaid,0
34.0,9.4,5,50,Prepaid,0
69.0,23.9,2,16,Prepaid,0
58.0,2.8,1,22,Postpaid,0
34.0,14.3,1,16,Postpaid,1
68.0,6.0,1,49,Prepaid,0
43.0,17.4,3,40,Prepaid,0
44.0,13.8,3,28,Postpaid,0
40.0,14.3,0,48,Postpaid,0
25.0,6.3,5,5,Prepaid,1
66.0,7.4,1,41,Prepaid,0
18.0,17.6,0,22,Prepaid,0
27.0,22.6,4,23,Postpaid,0
29.0,14.9,1,10,Prepaid,0
32.0,6.6,4,6,Postpaid,0
24.0,14.0,5,41,Postpaid,0
18.0,26.6,4,51,Postpaid,0
53.0,12.6,4,54,Postpaid,0
68.0,20.8,2,15,Prepaid,0
24.0,7.6,2,46,Postpaid,0
33.0,11.7,3,7,Postpaid,0
44.0,15.7,2,46,Postpaid,0
66.0,14.4,5,34,Prepaid,1
54.0,7.4,2,51,Prepaid,0
57.0,7.1,2,4,Postpaid,0
48.0,17.9,4,46,Prepaid,0
39.0,19.1,1,28,Postpaid,0
28.0,21.1,3,34,Prepaid,0
62.0,22.8,4,32,Prepaid,0
59.0,12.8,4,43,Postpaid,0
19.0,10.1,1,36,Postpaid,0
55.0,20.1,0,25,Prepaid,0
22.0,16.3,1,26,Prepaid,0
56.0,6.1,4,5,Prepaid,1
60.0,5.8,1,43,Prepaid,0
24.0,15.0,0,42,Prepaid,0
40.0,10.9,3,34,Prepaid,0
24.0,11.8,5,43,Prepaid,0
47.0,18.4,1,16,Prepaid,0
66.0,16.6,0,14,Postpaid,0
22.0,20.0,0,55,Postpaid,0
38.0,0.4,0,57,Prepaid,0
68.0,13.5,1,51,Postpaid,0
33.0,16.2,1,4,Prepaid,0
24.0,2.8,3,33,Prepaid,0
43.0,8.1,1,44,Prepaid,0
44.0,7.0,3,3,Postpaid,0
52.0,12.1,2,58,Prepaid,0
34.0,21.8,3,47,Prepaid,0
67.0,24.1,3,19,Postpaid,1
45.0,7.1,3,30,Postpaid,0
32.0,15.2,5,54,Postpaid,0
67.0,15.4,1,51,Postpaid,0
66.0,14.3,3,49,Postpaid,0
43.0,14.4,2,59,Prepaid,0
19.0,13.8,3,44,Postpaid,0
49.0,22.1,0,56,Prepaid,1
46.0,18.6,1,57,Prepaid,0
25.0,5.6,5,2,Postpaid,1
50.0,16.8,4,39,Prepaid,0
61.0,17.4,2,20,Prepaid,0
23.0,13.9,0,30,Prepaid,1
55.0,18.8,3,10,Postpaid,0
25.0,13.1,1,40,Postpaid,0
56.0,13.2,1,50,Prepaid,0
39.0,12.7,0,25,Prepaid,0
18.0,0.0,1,42,Postpaid,0
68.0,11.5,1,20,Postpaid,0
26.0,8.0,0,45,Prepaid,0
48.0,4.9,3,5,Prepaid,0
27.0,20.6,5,52,Prepaid,0
66.0,15.0,0,23,Prepaid,0
56.0,11.8,0,30,Postpaid,0
59.0,8.6,0,48,Prepaid,0
40.0,13.8,3,2,Postpaid,0
42.0,17.9,4,56,Postpaid,0
50.0,7.0,1,37,Postpaid,0
58.0,12.0,0,58,Postpaid,0
62.0,17.2,0,33,Prepaid,0
18.0,0.4,3,13,Prepaid,0
52.0,11.7,2,35,Prepaid,0
23.0,9.4,2,34,Postpaid,0
32.0,11.2,1,55,Postpaid,0
61.0,9.0,5,34,Prepaid,1
31.0,12.8,2,24,Postpaid,0
59.0,23.5,4,11,Prepaid,0
42.0,10.1,4,20,Prepaid,1
30.0,13.8,0,35,Prepaid,0
35.0,24.0,1,22,Postpaid,0
45.0,8.7,5,22,Prepaid,1
57.0,22.9,5,1,Prepaid,0
49.0,12.0,2,56,Postpaid,0
66.0,22.7,0,50,Prepaid,0
63.0,16.5,1,16,Prepaid,0
57.0,13.8,5,9,Prepaid,0
49.0,11.6,4,50,Prepaid,0
33.0,8.3,0,50,Prepaid,0
39.0,12.5,4,53,Prepaid,1
24.0,17.4,0,33,Postpaid,0
37.0,11.9,1,44,Postpaid,0
66.0,10.1,2,44,Postpaid,0
40.0,10.5,2,13,Prepaid,0
23.0,18.0,4,31,Prepaid,0
51.0,19.4,0,16,Prepaid,0
68.0,8.0,5,45,Prepaid,0
63.0,8.0,3,58,Postpaid,0
32.0,14.3,1,5,Prepaid,0
41.0,21.2,5,5,Postpaid,0
45.0,18.9,2,16,Postpaid,0
30.0,4.5,2,7,Prepaid,0
31.0,10.4,0,1,Postpaid,0
30.0,6.4,5,58,Prepaid,0
69.0,10.4,5,35,Postpaid,0
56.0,21.6,1,46,Postpaid,0
61.0,3.5,5,34,Prepaid,0
60.0,2.3,4,45,Prepaid,0
67.0,7.0,2,41,Prepaid,0
23.0,13.7,5,10,Postpaid,0
63.0,15.7,3,9,Prepaid,1
21.0,14.6,4,29,Postpaid,0
42.0,19.1,1,22,Prepaid,0
48.0,1.4,0,50,Postpaid,0
36.0,19.1,3,19,Prepaid,0
25.0,10.1,1,20,Postpaid,0
27.0,16.4,5,32,Postpaid,0
60.0,4.1,0,12,Prepaid,1
34.0,12.0,4,51,Prepaid,0
34.0,13.4,3,1,Prepaid,1
66.0,18.9,5,51,Postpaid,0
25.0,2.5,5,37,Postpaid,0
65.0,12.2,5,53,Prepaid,0
65.0,5.5,2,18,Postpaid,0
49.0,15.0,4,54,Postpaid,0
26.0,16.7,0,51,Postpaid,0
26.0,19.7,2,27,Prepaid,0
32.0,8.8,1,17,Prepaid,0
48.0,17.6,1,12,Postpaid,0
25.0,20.2,3,9,Postpaid,0
41.0,2.1,0,35,Postpaid,0
24.0,15.7,3,57,Postpaid,0
46.0,17.8,2,34,Prepaid,0
19.0,10.4,1,57,Postpaid,0
54.0,4.7,3,45,Postpaid,0
20.0,17.7,4,41,Postpaid,0
28.0,4.8,3,43,Postpaid,0
27.0,10.9,0,55,Prepaid,0
61.0,11.8,3,51,Prepaid,0
20.0,16.3,3,10,Postpaid,0
40.0,8.2,4,35,Postpaid,0
48.0,7.9,2,28,Prepaid,0
44.0,12.6,0,52,Postpaid,0
53.0,18.0,0,13,Prepaid,0
59.0,25.7,1,49,Prepaid,0
38.0,3.0,3,29,Postpaid,0
61.0,13.9,4,56,Postpaid,0
34.0,5.5,4,47,Postpaid,0
69.0,18.1,1,21,Postpaid,0
44.0,6.4,2,50,Prepaid,0
56.0,8.0,0,12,Prepaid,0
63.0,8.5,4,1,Postpaid,1
59.0,11.5,2,30,Prepaid,0
62.0,13.9,3,23,Prepaid,0
45.0,14.9,2,8,Prepaid,1
20.0,12.0,1,59,Prepaid,0
43.0,4.0,1,3,Prepaid,0
27.0,16.4,5,35,Postpaid,0
64.0,11.7,0,16,Postpaid,0
30.0,19.0,5,18,Prepaid,0
29.0,7.8,0,13,Prepaid,0
30.0,2.4,0,23,Prepaid,0
51.0,11.8,5,40,Postpaid,0
47.0,19.8,5,20,Prepaid,0
67.0,13.0,5,43,Prepaid,0
39.0,10.8,4,27,Postpaid,0
32.0,6.8,2,47,Prepaid,0
20.0,22.5,0,27,Postpaid,0
18.0,5.8,3,22,Postpaid,0
37.0,7.6,3,30,Prepaid,0
66.0,15.4,4,41,Prepaid,0
45.0,0.9,0,28,Prepaid,0
64.0,19.6,0,54,Postpaid,0
23.0,15.7,3,31,Postpaid,0
22.0,17.4,5,18,Postpaid,0
61.0,15.3,5,2,Postpaid,0
23.0,11.0,3,24,Postpaid,0
20.0,5.6,2,4,Prepaid,0
39.0,11.2,2,3,Prepaid,0
66.0,6.1,3,22,Postpaid,0
53.0,14.9,3,18,Postpaid,0
23.0,16.8,1,53,Prepaid,0
61.0,20.9,2,44,Prepaid,0
61.0,14.2,3,47,Prepaid,0
59.0,17.5,5,33,Prepaid,1
64.0,10.2,4,7,Postpaid,0
30.0,9.1,4,51,Postpaid,0
68.0,14.8,1,30,Postpaid,0
34.0,9.7,2,26,Prepaid,0
59.0,13.6,3,36,Postpaid,0
48.0,5.6,5,10,Prepaid,0
58.0,6.7,2,29,Prepaid,0
50.0,15.8,5,36,Postpaid,0
51.0,17.3,4,42,Postpaid,0
50.0,6.1,3,30,Postpaid,0
58.0,16.0,4,59,Prepaid,0
56.0,8.8,4,59,Prepaid,0
24.0,12.1,4,6,Postpaid,0
60.0,20.5,4,5,Postpaid,0
45.0,16.8,2,31,Prepaid,0
34.0,16.8,2,49,Prepaid,0
44.0,23.5,3,31,Prepaid,0
68.0,7.8,5,13,Prepaid,0
62.0,6.1,3,34,Prepaid,1
61.0,7.7,5,56,Postpaid,0
42.0,10.5,4,10,Prepaid,0
58.0,0.0,2,27,Postpaid,0
38.0,10.8,3,38,Postpaid,0
53.0,8.7,3,24,Prepaid,0
51.0,16.7,5,3,Prepaid,1
30.0,14.1,1,40,Postpaid,0
31.0,8.4,1,44,Prepaid,0
21.0,15.5,1,39,Postpaid,0
25.0,16.3,0,40,Prepaid,0
40.0,7.4,4,39,Prepaid,0
42.0,9.0,5,20,Postpaid,0
26.0,0.0,3,1,Prepaid,0
39.0,5.5,0,59,Prepaid,0
49.0,7.5,2,13,Postpaid,0
30.0,12.4,5,49,Prepaid,0
35.0,6.3,0,32,Prepaid,0
37.0,8.9,3,32,Postpaid,1
44.0,4.6,2,2,Prepaid,0
37.0,13.0,5,59,Postpaid,0
56.0,14.6,3,32,Postpaid,0
35.0,14.4,3,49,Postpaid,0
40.0,12.1,4,46,Prepaid,0
37.0,2.8,4,9,Prepaid,1
27.0,8.3,3,56,Postpaid,0
53.0,9.6,4,35,Postpaid,0
30.0,9.6,4,11,Prepaid,1
33.0,12.4,3,35,Prepaid,0
59.0,20.6,4,37,Prepaid,1
67.0,16.9,2,39,Prepaid,0
52.0,6.1,2,19,Postpaid,0
65.0,16.1,0,56,Postpaid,0
62.0,15.8,4,14,Prepaid,0
43.0,7.2,1,30,Postpaid,0
58.0,17.1,4,50,Postpaid,0
35.0,11.0,5,5,Postpaid,0
41.0,3.5,5,24,Postpaid,1
45.0,14.7,1,29,Prepaid,0
67.0,13.3,3,46,Postpaid,0
62.0,10.6,4,47,Prepaid,0
43.0,11.8,3,48,Prepaid,0
51.0,7.7,3,22,Prepaid,0
28.0,15.7,2,30,Prepaid,0
59.0,11.7,1,2,Postpaid,0
46.0,13.0,3,49,Prepaid,0
45.0,14.1,5,18,Prepaid,0
57.0,5.1,1,28,Prepaid,0
50.0,6.6,0,41,Prepaid,0
21.0,0.0,0,46,Prepaid,0
32.0,15.4,3,6,Prepaid,0
27.0,4.7,1,46,Postpaid,0
56.0,12.8,2,23,Postpaid,0
19.0,14.2,5,25,Prepaid,0
28.0,15.6,0,8,Postpaid,0
49.0,4.8,1,43,Postpaid,0
54.0,11.6,1,29,Prepaid,0
44.0,22.0,2,7,Prepaid,0
62.0,22.3,4,9,Prepaid,1
65.0,17.9,1,43,Prepaid,0
24.0,14.0,0,7,Postpaid,1
67.0,6.0,0,31,Prepaid,0
49.0,16.3,4,42,Prepaid,0
51.0,11.1,0,54,Prepaid,0
22.0,15.4,3,10,Postpaid,0
50.0,8.2,3,18,Postpaid,0
55.0,11.0,0,10,Prepaid,1
48.0,13.0,3,52,Prepaid,0
22.0,13.5,1,35,Postpaid,1
45.0,15.0,3,59,Prepaid,0
66.0,8.5,0,3,Prepaid,0
55.0,3.9,4,42,Postpaid,0
25.0,21.7,4,2,Prepaid,0
67.0,26.9,0,7,Prepaid,0
67.0,14.7,3,26,Prepaid,0
26.0,4.1,3,22,Prepaid,1
59.0,7.4,0,22,Postpaid,0
39.0,15.1,4,5,Prepaid,0
48.0,20.0,3,33,Prepaid,0
41.0,4.7,1,21,Postpaid,0
58.0,11.3,2,59,Postpaid,0
69.0,13.2,4,47,Prepaid,0
59.0,17.2,3,26,Postpaid,0
66.0,9.9,4,46,Postpaid,0
67.0,2.6,0,34,Prepaid,0
22.0,15.7,4,30,Prepaid,0
31.0,18.7,0,55,Postpaid,0
55.0,11.5,3,35,Prepaid,1
